model_run,time,volume
EC-Earth3-Veg_ssp119,2023,4720887692.219808
EC-Earth3-Veg_ssp119,2024,4652674932.781131
EC-Earth3-Veg_ssp119,2025,4401332439.8841715
EC-Earth3-Veg_ssp119,2026,4280121091.3819714
EC-Earth3-Veg_ssp119,2027,4119534095.320722
EC-Earth3-Veg_ssp119,2028,3799899804.7418957
EC-Earth3-Veg_ssp119,2029,3663747222.345513
EC-Earth3-Veg_ssp119,2030,3450295633.69001
EC-Earth3-Veg_ssp119,2031,3377472597.9119425
EC-Earth3-Veg_ssp119,2032,3224349230.6791086
EC-Earth3-Veg_ssp119,2033,3138462029.204926
EC-Earth3-Veg_ssp119,2034,3000606653.2150326
EC-Earth3-Veg_ssp119,2035,2805242104.676047
EC-Earth3-Veg_ssp119,2036,2713586424.350067
EC-Earth3-Veg_ssp119,2037,2596209333.068182
EC-Earth3-Veg_ssp119,2038,2547390357.321686
EC-Earth3-Veg_ssp119,2039,2487919792.7535934
EC-Earth3-Veg_ssp119,2040,2409686401.084092
EC-Earth3-Veg_ssp119,2041,2336528239.8093247
EC-Earth3-Veg_ssp119,2042,2306768845.9914613
EC-Earth3-Veg_ssp119,2043,2209801549.237055
EC-Earth3-Veg_ssp119,2044,2142904090.666177
EC-Earth3-Veg_ssp119,2045,2089594397.5769234
EC-Earth3-Veg_ssp119,2046,1953450078.1494367
EC-Earth3-Veg_ssp119,2047,1852886045.53038
EC-Earth3-Veg_ssp119,2048,1746205585.2917173
EC-Earth3-Veg_ssp119,2049,1650818949.0952442
EC-Earth3-Veg_ssp119,2050,1631896749.6130445
EC-Earth3-Veg_ssp119,2051,1581502776.8841543
EC-Earth3-Veg_ssp119,2052,1527112508.6009154
EC-Earth3-Veg_ssp119,2053,1465479594.6057189
EC-Earth3-Veg_ssp119,2054,1423113179.3675816
EC-Earth3-Veg_ssp119,2055,1361047951.0301561
EC-Earth3-Veg_ssp119,2056,1266030824.2217977
EC-Earth3-Veg_ssp119,2057,1231616993.3617463
EC-Earth3-Veg_ssp119,2058,1216420964.230336
EC-Earth3-Veg_ssp119,2059,1188427504.0749335
EC-Earth3-Veg_ssp119,2060,1123422852.2164953
EC-Earth3-Veg_ssp119,2061,993863309.793902
EC-Earth3-Veg_ssp119,2062,962587653.621757
EC-Earth3-Veg_ssp119,2063,932898708.2126675
EC-Earth3-Veg_ssp119,2064,862950000.1229054
EC-Earth3-Veg_ssp119,2065,850228707.5517622
EC-Earth3-Veg_ssp119,2066,842721210.7086205
EC-Earth3-Veg_ssp119,2067,778210330.477958
EC-Earth3-Veg_ssp119,2068,767245584.7184502
EC-Earth3-Veg_ssp119,2069,756506282.6611141
EC-Earth3-Veg_ssp119,2070,729448775.3384055
EC-Earth3-Veg_ssp119,2071,698670989.9629438
EC-Earth3-Veg_ssp119,2072,653908416.4512846
EC-Earth3-Veg_ssp119,2073,651909153.3815194
EC-Earth3-Veg_ssp119,2074,637652253.8543601
EC-Earth3-Veg_ssp119,2075,634556399.7415628
